titulo,streams,daily,es_feature
Delicate - Recorded at The Tracking Room Nashville,"51,543,581","19,695",No
You're Not Sorry,"50,870,873","8,350",No
Eyes Open (Taylor's Version),"50,234,481","11,480",No
If This Was A Movie,"48,755,257","8,822",No
The Lucky One,"47,746,654","7,133",No
Superstar (Taylor’s Version),"47,686,198","13,643",No
Starlight,"47,573,433","7,482",No
cardigan - cabin in candlelight version,"46,768,281","8,788",No
Come Back...Be Here,"46,514,361","8,201",No
Stay Beautiful,"45,990,650","12,856",No
Teardrops on My Guitar - Pop Version,"45,805,091","16,580",No
The Best Day,"45,354,346","10,077",No
Invisible,"45,348,960","12,842",No
Death By A Thousand Cuts - Live From Paris,"45,047,293","9,689",No
Tied Together with a Smile,"44,399,603","12,995",No
Last Christmas,"43,762,712","4,034",No
Sad Beautiful Tragic,"43,478,964","7,258",No
Cruel Summer - LP Giobbi Remix,"43,354,083","23,528",No
willow - dancing witch version (Elvira remix),"43,026,373","4,803",No
The Outside,"40,894,313","12,238",No
Love Story (Taylor's Version) - Elvira Remix,"39,957,756","7,505",No
Anti-Hero - Kungs Remix,"39,870,011","17,227",No
Fortnight (feat. Post Malone) - BLOND:ISH Remix,"39,189,173","25,271",No
Anti-Hero - Acoustic Version,"37,614,833","10,540",No
Cruel Summer - Live from TS | The Eras Tour,"36,147,775","12,136",No
Tell Me Why,"35,117,855","6,753",No
Today Was A Fairytale - US Version,"34,982,208","8,712",No
Daylight - Live From Paris,"34,729,466","17,798",No
A Perfectly Good Heart,"34,274,286","10,399",No
The Moment I Knew,"34,196,599","4,455",No
cardigan - the long pond studio sessions,"33,630,087","21,039",No
Lavender Haze - Acoustic Version,"33,486,673","8,889",No
my tears ricochet - the long pond studio sessions,"30,698,410","14,512",No
Change,"30,314,320","5,936",No
Lover - First Dance Remix,"29,835,954","8,557",No
Forever & Always - Piano Version,"29,693,316","4,457",No
...Ready For It? - BloodPop® Remix,"29,535,652","6,932",No
Lavender Haze - Felix Jaehn Remix,"28,909,450","5,903",No
Jump Then Fall,"28,524,915","5,365",No
this is me trying - the long pond studio sessions,"28,221,525","14,739",No
Superman,"28,058,374","4,212",No
august - the long pond studio sessions,"28,057,833","9,279",No
Haunted - Acoustic Version,"27,811,132","5,294",No
Anti-Hero (feat. Bleachers),"26,574,995","8,258",No
Untouchable,"25,980,764","5,817",No
State Of Grace - Acoustic,"25,613,984","3,339",No
Girl At Home,"25,223,032","4,337",No
"Sweeter Than Fiction - From ""One Chance"" Soundtrack","25,199,820","9,727",No
enegade - Pop Version,"25,167,821","24,392",Si
Message In A Bottle (Fat Max G Remix) (Taylor’s Version),"24,386,621","5,836",No
the 1 - the long pond studio sessions,"23,993,902","8,036",No
The Man - Live From Paris,"23,754,587","3,807",No
mirrorball - the long pond studio sessions,"22,659,774","8,851",No
illicit affairs - the long pond studio sessions,"20,843,966","8,209",No
